team1,team1score,team2,team2score,Week,Year
Minnesota Vikings,31, Arizona Cardinals,26,12,2006
New England Patriots,17, Chicago Bears,13,12,2006
New Orleans Saints,31, Atlanta Falcons,13,12,2006
New York Jets,26, Houston Texans,11,12,2006
San Diego Chargers,21, Oakland Raiders,14,12,2006
Seattle Seahawks,34, Green Bay Packers,24,12,2006
St. Louis Rams,20, San Francisco 49ers,17,12,2006
Tennessee Titans,24, New York Giants,21,12,2006
Washington Redskins,17, Carolina Panthers,13,12,2006
Arizona Cardinals,34, St. Louis Rams,20,13,2006
Atlanta Falcons,24, Washington Redskins,14,13,2006
Chicago Bears,23, Minnesota Vikings,13,13,2006
Cincinnati Bengals,13, Baltimore Ravens,7,13,2006
Cleveland Browns,31, Kansas City Chiefs,28,13,2006
Dallas Cowboys,23, New York Giants,20,13,2006
Houston Texans,23, Oakland Raiders,14,13,2006
Jacksonville Jaguars,24, Miami Dolphins,10,13,2006
New England Patriots,28, Detroit Lions,21,13,2006
New Orleans Saints,34, San Francisco 49ers,10,13,2006
New York Jets,38, Green Bay Packers,10,13,2006
Philadelphia Eagles,27, Carolina Panthers,24,13,2006
Pittsburgh Steelers,20, Tampa Bay Buccaneers,3,13,2006
San Diego Chargers,24, Buffalo Bills,21,13,2006
Seattle Seahawks,23, Denver Broncos,20,13,2006
Tennessee Titans,20, Indianapolis Colts,17,13,2006
Arizona Cardinals,27, Seattle Seahawks,21,14,2006
Atlanta Falcons,17, Tampa Bay Buccaneers,6,14,2006
Baltimore Ravens,20, Kansas City Chiefs,10,14,2006
Buffalo Bills,31, New York Jets,13,14,2006
Chicago Bears,42, St. Louis Rams,27,14,2006
Cincinnati Bengals,27, Oakland Raiders,10,14,2006
Green Bay Packers,30, San Francisco 49ers,19,14,2006
Jacksonville Jaguars,44, Indianapolis Colts,17,14,2006
Miami Dolphins,21, New England Patriots,0,14,2006
Minnesota Vikings,30, Detroit Lions,20,14,2006
New Orleans Saints,42, Dallas Cowboys,17,14,2006
New York Giants,27, Carolina Panthers,13,14,2006
Philadelphia Eagles,21, Washington Redskins,19,14,2006
Pittsburgh Steelers,27, Cleveland Browns,7,14,2006
San Diego Chargers,48, Denver Broncos,20,14,2006
Tennessee Titans,26, Houston Texans,20,14,2006
Baltimore Ravens,27, Cleveland Browns,17,15,2006
Buffalo Bills,21, Miami Dolphins,0,15,2006
Chicago Bears,34, Tampa Bay Buccaneers,31,15,2006
Dallas Cowboys,38, Atlanta Falcons,28,15,2006
Denver Broncos,37, Arizona Cardinals,20,15,2006
Green Bay Packers,17, Detroit Lions,9,15,2006
Indianapolis Colts,34, Cincinnati Bengals,16,15,2006
New England Patriots,40, Houston Texans,7,15,2006
New York Jets,26, Minnesota Vikings,13,15,2006
Philadelphia Eagles,36, New York Giants,22,15,2006
Pittsburgh Steelers,37, Carolina Panthers,3,15,2006
San Diego Chargers,20, Kansas City Chiefs,9,15,2006
San Francisco 49ers,24, Seattle Seahawks,14,15,2006
St. Louis Rams,20, Oakland Raiders,0,15,2006
Tennessee Titans,24, Jacksonville Jaguars,17,15,2006
Washington Redskins,16, New Orleans Saints,10,15,2006
Arizona Cardinals,26, San Francisco 49ers,20,16,2006
Baltimore Ravens,31, Pittsburgh Steelers,7,16,2006
Carolina Panthers,10, Atlanta Falcons,3,16,2006
Chicago Bears,26, Detroit Lions,21,16,2006
Denver Broncos,24, Cincinnati Bengals,23,16,2006
Green Bay Packers,9, Minnesota Vikings,7,16,2006
Houston Texans,27, Indianapolis Colts,24,16,2006
Kansas City Chiefs,20, Oakland Raiders,9,16,2006
New England Patriots,24, Jacksonville Jaguars,21,16,2006
New Orleans Saints,30, New York Giants,7,16,2006
New York Jets,13, Miami Dolphins,10,16,2006
Philadelphia Eagles,23, Dallas Cowboys,7,16,2006
San Diego Chargers,20, Seattle Seahawks,17,16,2006
St. Louis Rams,37, Washington Redskins,31,16,2006
Tampa Bay Buccaneers,22, Cleveland Browns,7,16,2006
Tennessee Titans,30, Buffalo Bills,29,16,2006
Baltimore Ravens,19, Buffalo Bills,7,17,2006
Carolina Panthers,31, New Orleans Saints,21,17,2006
Detroit Lions,39, Dallas Cowboys,31,17,2006
Green Bay Packers,26, Chicago Bears,7,17,2006
Houston Texans,14, Cleveland Browns,6,17,2006
Indianapolis Colts,27, Miami Dolphins,22,17,2006
Kansas City Chiefs,35, Jacksonville Jaguars,30,17,2006
New England Patriots,40, Tennessee Titans,23,17,2006
New York Giants,34, Washington Redskins,28,17,2006
New York Jets,23, Oakland Raiders,3,17,2006
Philadelphia Eagles,24, Atlanta Falcons,17,17,2006
Pittsburgh Steelers,23, Cincinnati Bengals,17,17,2006
San Diego Chargers,27, Arizona Cardinals,20,17,2006
San Francisco 49ers,26, Denver Broncos,23,17,2006
Seattle Seahawks,23, Tampa Bay Buccaneers,7,17,2006
St. Louis Rams,41, Minnesota Vikings,21,17,2006
Indianapolis Colts,23, Kansas City Chiefs,8,wc,2006
New England Patriots,37, New York Jets,16,wc,2006
Philadelphia Eagles,23, New York Giants,20,wc,2006
Seattle Seahawks,21, Dallas Cowboys,20,wc,2006
Chicago Bears,27, Seattle Seahawks,24,div,2006
Indianapolis Colts,15, Baltimore Ravens,6,div,2006
New England Patriots,24, San Diego Chargers,21,div,2006
New Orleans Saints,27, Philadelphia Eagles,24,div,2006
Chicago Bears,39, New Orleans Saints,14,conf,2006
Indianapolis Colts,38, New England Patriots,34,conf,2006
Indianapolis Colts,29, Chicago Bears,17,sb,2006
Carolina Panthers,27, St. Louis Rams,13,01,2007
Cincinnati Bengals,27, Baltimore Ravens,20,01,2007
Dallas Cowboys,45, New York Giants,35,01,2007
Denver Broncos,15, Buffalo Bills,14,01,2007
Detroit Lions,36, Oakland Raiders,21,01,2007
Green Bay Packers,16, Philadelphia Eagles,13,01,2007
Houston Texans,20, Kansas City Chiefs,3,01,2007
Indianapolis Colts,41, New Orleans Saints,10,01,2007
Minnesota Vikings,24, Atlanta Falcons,3,01,2007
New England Patriots,38, New York Jets,14,01,2007
Pittsburgh Steelers,34, Cleveland Browns,7,01,2007
San Diego Chargers,14, Chicago Bears,3,01,2007
San Francisco 49ers,20, Arizona Cardinals,17,01,2007
Seattle Seahawks,20, Tampa Bay Buccaneers,6,01,2007
Tennessee Titans,13, Jacksonville Jaguars,10,01,2007
Washington Redskins,16, Miami Dolphins,13,01,2007
Arizona Cardinals,23, Seattle Seahawks,20,02,2007
Baltimore Ravens,20, New York Jets,13,02,2007
Chicago Bears,20, Kansas City Chiefs,10,02,2007
Cleveland Browns,51, Cincinnati Bengals,45,02,2007
Dallas Cowboys,37, Miami Dolphins,20,02,2007
Denver Broncos,23, Oakland Raiders,20,02,2007
Detroit Lions,20, Minnesota Vikings,17,02,2007
Green Bay Packers,35, New York Giants,13,02,2007
Houston Texans,34, Carolina Panthers,21,02,2007
Indianapolis Colts,22, Tennessee Titans,20,02,2007
Jacksonville Jaguars,13, Atlanta Falcons,7,02,2007
New England Patriots,38, San Diego Chargers,14,02,2007
Pittsburgh Steelers,26, Buffalo Bills,3,02,2007
San Francisco 49ers,17, St. Louis Rams,16,02,2007
Tampa Bay Buccaneers,31, New Orleans Saints,14,02,2007
Washington Redskins,20, Philadelphia Eagles,12,02,2007
Baltimore Ravens,26, Arizona Cardinals,23,03,2007
Carolina Panthers,27, Atlanta Falcons,20,03,2007
Dallas Cowboys,34, Chicago Bears,10,03,2007
Green Bay Packers,31, San Diego Chargers,24,03,2007
Indianapolis Colts,30, Houston Texans,24,03,2007
Jacksonville Jaguars,23, Denver Broncos,14,03,2007
Kansas City Chiefs,13, Minnesota Vikings,10,03,2007
New England Patriots,38, Buffalo Bills,7,03,2007
New York Giants,24, Washington Redskins,17,03,2007
New York Jets,31, Miami Dolphins,28,03,2007
Oakland Raiders,26, Cleveland Browns,24,03,2007
Philadelphia Eagles,56, Detroit Lions,21,03,2007
Pittsburgh Steelers,37, San Francisco 49ers,16,03,2007
Seattle Seahawks,24, Cincinnati Bengals,21,03,2007
Tampa Bay Buccaneers,24, St. Louis Rams,3,03,2007
Tennessee Titans,31, New Orleans Saints,14,03,2007
Arizona Cardinals,21, Pittsburgh Steelers,14,04,2007
Atlanta Falcons,26, Houston Texans,16,04,2007
Buffalo Bills,17, New York Jets,14,04,2007
Cleveland Browns,27, Baltimore Ravens,13,04,2007
Dallas Cowboys,35, St. Louis Rams,7,04,2007
Detroit Lions,37, Chicago Bears,27,04,2007
Green Bay Packers,23, Minnesota Vikings,16,04,2007
Indianapolis Colts,38, Denver Broncos,20,04,2007
Kansas City Chiefs,30, San Diego Chargers,16,04,2007
New England Patriots,34, Cincinnati Bengals,13,04,2007
New York Giants,16, Philadelphia Eagles,3,04,2007
Oakland Raiders,35, Miami Dolphins,17,04,2007
Seattle Seahawks,23, San Francisco 49ers,3,04,2007
Tampa Bay Buccaneers,20, Carolina Panthers,7,04,2007
Arizona Cardinals,34, St. Louis Rams,31,05,2007
Baltimore Ravens,9, San Francisco 49ers,7,05,2007
Carolina Panthers,16, New Orleans Saints,13,05,2007
Chicago Bears,27, Green Bay Packers,20,05,2007
Dallas Cowboys,25, Buffalo Bills,24,05,2007
Houston Texans,22, Miami Dolphins,19,05,2007
Indianapolis Colts,33, Tampa Bay Buccaneers,14,05,2007
Jacksonville Jaguars,17, Kansas City Chiefs,7,05,2007
New England Patriots,34, Cleveland Browns,17,05,2007
New York Giants,35, New York Jets,24,05,2007
Pittsburgh Steelers,21, Seattle Seahawks,0,05,2007
San Diego Chargers,41, Denver Broncos,3,05,2007
Tennessee Titans,20, Atlanta Falcons,13,05,2007
Washington Redskins,34, Detroit Lions,3,05,2007
Baltimore Ravens,22, St. Louis Rams,3,06,2007
Carolina Panthers,25, Arizona Cardinals,10,06,2007
Cleveland Browns,41, Miami Dolphins,31,06,2007
Green Bay Packers,17, Washington Redskins,14,06,2007
Jacksonville Jaguars,37, Houston Texans,17,06,2007
Kansas City Chiefs,27, Cincinnati Bengals,20,06,2007
Minnesota Vikings,34, Chicago Bears,31,06,2007
New England Patriots,48, Dallas Cowboys,27,06,2007
New Orleans Saints,28, Seattle Seahawks,17,06,2007
New York Giants,31, Atlanta Falcons,10,06,2007
Philadelphia Eagles,16, New York Jets,9,06,2007
San Diego Chargers,28, Oakland Raiders,14,06,2007
Tampa Bay Buccaneers,13, Tennessee Titans,10,06,2007
Buffalo Bills,19, Baltimore Ravens,14,07,2007
Chicago Bears,19, Philadelphia Eagles,16,07,2007
Cincinnati Bengals,38, New York Jets,31,07,2007
Dallas Cowboys,24, Minnesota Vikings,14,07,2007
Denver Broncos,31, Pittsburgh Steelers,28,07,2007
Detroit Lions,23, Tampa Bay Buccaneers,16,07,2007
Indianapolis Colts,29, Jacksonville Jaguars,7,07,2007
Kansas City Chiefs,12, Oakland Raiders,10,07,2007
New England Patriots,49, Miami Dolphins,28,07,2007
New Orleans Saints,22, Atlanta Falcons,16,07,2007
New York Giants,33, San Francisco 49ers,15,07,2007
Seattle Seahawks,33, St. Louis Rams,6,07,2007
Tennessee Titans,38, Houston Texans,36,07,2007
Washington Redskins,21, Arizona Cardinals,19,07,2007
Buffalo Bills,13, New York Jets,3,08,2007
Cleveland Browns,27, St. Louis Rams,20,08,2007
Detroit Lions,16, Chicago Bears,7,08,2007
Green Bay Packers,19, Denver Broncos,13,08,2007
Indianapolis Colts,31, Carolina Panthers,7,08,2007
Jacksonville Jaguars,24, Tampa Bay Buccaneers,23,08,2007
New England Patriots,52, Washington Redskins,7,08,2007
New Orleans Saints,31, San Francisco 49ers,10,08,2007
New York Giants,13, Miami Dolphins,10,08,2007
Philadelphia Eagles,23, Minnesota Vikings,16,08,2007
Pittsburgh Steelers,24, Cincinnati Bengals,13,08,2007
San Diego Chargers,35, Houston Texans,10,08,2007
Tennessee Titans,13, Oakland Raiders,9,08,2007
Atlanta Falcons,20, San Francisco 49ers,16,09,2007
Buffalo Bills,33, Cincinnati Bengals,21,09,2007
Cleveland Browns,33, Seattle Seahawks,30,09,2007
Dallas Cowboys,38, Philadelphia Eagles,17,09,2007
Detroit Lions,44, Denver Broncos,7,09,2007
Green Bay Packers,33, Kansas City Chiefs,22,09,2007
Houston Texans,24, Oakland Raiders,17,09,2007
Minnesota Vikings,35, San Diego Chargers,17,09,2007
New England Patriots,24, Indianapolis Colts,20,09,2007
New Orleans Saints,41, Jacksonville Jaguars,24,09,2007
Pittsburgh Steelers,38, Baltimore Ravens,7,09,2007
Tampa Bay Buccaneers,17, Arizona Cardinals,10,09,2007
Tennessee Titans,20, Carolina Panthers,7,09,2007
Washington Redskins,23, New York Jets,20,09,2007
Arizona Cardinals,31, Detroit Lions,21,10,2007
Atlanta Falcons,20, Carolina Panthers,13,10,2007
Buffalo Bills,13, Miami Dolphins,10,10,2007
Chicago Bears,17, Oakland Raiders,6,10,2007
Cincinnati Bengals,21, Baltimore Ravens,7,10,2007
Dallas Cowboys,31, New York Giants,20,10,2007
Denver Broncos,27, Kansas City Chiefs,11,10,2007
Green Bay Packers,34, Minnesota Vikings,0,10,2007
Jacksonville Jaguars,28, Tennessee Titans,13,10,2007
Philadelphia Eagles,33, Washington Redskins,25,10,2007
Pittsburgh Steelers,31, Cleveland Browns,28,10,2007
San Diego Chargers,23, Indianapolis Colts,21,10,2007
Seattle Seahawks,24, San Francisco 49ers,0,10,2007
St. Louis Rams,37, New Orleans Saints,29,10,2007
Arizona Cardinals,35, Cincinnati Bengals,27,11,2007
Cleveland Browns,33, Baltimore Ravens,30,11,2007
Dallas Cowboys,28, Washington Redskins,23,11,2007
Denver Broncos,34, Tennessee Titans,20,11,2007
Green Bay Packers,31, Carolina Panthers,17,11,2007
Houston Texans,23, New Orleans Saints,10,11,2007
Indianapolis Colts,13, Kansas City Chiefs,10,11,2007
Jacksonville Jaguars,24, San Diego Chargers,17,11,2007
Minnesota Vikings,29, Oakland Raiders,22,11,2007
New England Patriots,56, Buffalo Bills,10,11,2007
New York Giants,16, Detroit Lions,10,11,2007
New York Jets,19, Pittsburgh Steelers,16,11,2007
Philadelphia Eagles,17, Miami Dolphins,7,11,2007
Seattle Seahawks,30, Chicago Bears,23,11,2007
St. Louis Rams,13, San Francisco 49ers,9,11,2007
Tampa Bay Buccaneers,31, Atlanta Falcons,7,11,2007
Chicago Bears,37, Denver Broncos,34,12,2007
Cincinnati Bengals,35, Tennessee Titans,6,12,2007
Cleveland Browns,27, Houston Texans,17,12,2007
Dallas Cowboys,34, New York Jets,3,12,2007
Green Bay Packers,37, Detroit Lions,26,12,2007
Indianapolis Colts,31, Atlanta Falcons,13,12,2007
Jacksonville Jaguars,36, Buffalo Bills,14,12,2007
Minnesota Vikings,41, New York Giants,17,12,2007
New England Patriots,31, Philadelphia Eagles,28,12,2007
New Orleans Saints,31, Carolina Panthers,6,12,2007
Oakland Raiders,20, Kansas City Chiefs,17,12,2007
Pittsburgh Steelers,3, Miami Dolphins,0,12,2007
San Diego Chargers,32, Baltimore Ravens,14,12,2007
San Francisco 49ers,37, Arizona Cardinals,31,12,2007
Seattle Seahawks,24, St. Louis Rams,19,12,2007
Tampa Bay Buccaneers,19, Washington Redskins,13,12,2007
Arizona Cardinals,27, Cleveland Browns,21,13,2007
Buffalo Bills,17, Washington Redskins,16,13,2007
Carolina Panthers,31, San Francisco 49ers,14,13,2007
Dallas Cowboys,37, Green Bay Packers,27,13,2007
Indianapolis Colts,28, Jacksonville Jaguars,25,13,2007
Minnesota Vikings,42, Detroit Lions,10,13,2007
New England Patriots,27, Baltimore Ravens,24,13,2007
New York Giants,21, Chicago Bears,16,13,2007
New York Jets,40, Miami Dolphins,13,13,2007
Oakland Raiders,34, Denver Broncos,20,13,2007
Pittsburgh Steelers,24, Cincinnati Bengals,10,13,2007
San Diego Chargers,24, Kansas City Chiefs,10,13,2007
Seattle Seahawks,28, Philadelphia Eagles,24,13,2007
St. Louis Rams,28, Atlanta Falcons,16,13,2007
Tampa Bay Buccaneers,27, New Orleans Saints,23,13,2007
Tennessee Titans,28, Houston Texans,20,13,2007
Buffalo Bills,38, Miami Dolphins,18,14,2007
Cincinnati Bengals,19, St. Louis Rams,10,14,2007
Cleveland Browns,24, New York Jets,18,14,2007
Dallas Cowboys,28, Detroit Lions,27,14,2007
Denver Broncos,41, Kansas City Chiefs,7,14,2007
Green Bay Packers,38, Oakland Raiders,7,14,2007
Houston Texans,28, Tampa Bay Buccaneers,14,14,2007
Indianapolis Colts,44, Baltimore Ravens,20,14,2007
Jacksonville Jaguars,37, Carolina Panthers,3,14,2007
Minnesota Vikings,27, San Francisco 49ers,7,14,2007
New England Patriots,34, Pittsburgh Steelers,13,14,2007
New Orleans Saints,34, Atlanta Falcons,14,14,2007
New York Giants,16, Philadelphia Eagles,13,14,2007
San Diego Chargers,23, Tennessee Titans,17,14,2007
Seattle Seahawks,42, Arizona Cardinals,21,14,2007
Washington Redskins,24, Chicago Bears,16,14,2007
Carolina Panthers,13, Seattle Seahawks,10,15,2007
Cleveland Browns,8, Buffalo Bills,0,15,2007
Green Bay Packers,33, St. Louis Rams,14,15,2007
Houston Texans,31, Denver Broncos,13,15,2007
Indianapolis Colts,21, Oakland Raiders,14,15,2007
Jacksonville Jaguars,29, Pittsburgh Steelers,22,15,2007
Miami Dolphins,22, Baltimore Ravens,16,15,2007
Minnesota Vikings,20, Chicago Bears,13,15,2007
New England Patriots,20, New York Jets,10,15,2007
New Orleans Saints,31, Arizona Cardinals,24,15,2007
Philadelphia Eagles,10, Dallas Cowboys,6,15,2007
San Diego Chargers,51, Detroit Lions,14,15,2007
San Francisco 49ers,20, Cincinnati Bengals,13,15,2007
Tampa Bay Buccaneers,37, Atlanta Falcons,3,15,2007
Tennessee Titans,26, Kansas City Chiefs,17,15,2007
Washington Redskins,22, New York Giants,10,15,2007
Arizona Cardinals,30, Atlanta Falcons,27,16,2007
Chicago Bears,35, Green Bay Packers,7,16,2007
Cincinnati Bengals,19, Cleveland Browns,14,16,2007
Dallas Cowboys,20, Carolina Panthers,13,16,2007
Detroit Lions,25, Kansas City Chiefs,20,16,2007
Indianapolis Colts,38, Houston Texans,15,16,2007
Jacksonville Jaguars,29, Oakland Raiders,11,16,2007
New England Patriots,28, Miami Dolphins,7,16,2007
New York Giants,38, Buffalo Bills,21,16,2007
Philadelphia Eagles,38, New Orleans Saints,23,16,2007
Pittsburgh Steelers,41, St. Louis Rams,24,16,2007
San Diego Chargers,23, Denver Broncos,3,16,2007
San Francisco 49ers,21, Tampa Bay Buccaneers,19,16,2007
Seattle Seahawks,27, Baltimore Ravens,6,16,2007
Tennessee Titans,10, New York Jets,6,16,2007
Washington Redskins,32, Minnesota Vikings,21,16,2007
Arizona Cardinals,48, St. Louis Rams,19,17,2007
Atlanta Falcons,44, Seattle Seahawks,41,17,2007
Baltimore Ravens,27, Pittsburgh Steelers,21,17,2007
Carolina Panthers,31, Tampa Bay Buccaneers,23,17,2007
Chicago Bears,33, New Orleans Saints,25,17,2007
Cincinnati Bengals,38, Miami Dolphins,25,17,2007
Cleveland Browns,20, San Francisco 49ers,7,17,2007
Denver Broncos,22, Minnesota Vikings,19,17,2007
Green Bay Packers,34, Detroit Lions,13,17,2007
Houston Texans,42, Jacksonville Jaguars,28,17,2007
New England Patriots,38, New York Giants,35,17,2007
New York Jets,13, Kansas City Chiefs,10,17,2007
Philadelphia Eagles,17, Buffalo Bills,9,17,2007
San Diego Chargers,30, Oakland Raiders,17,17,2007
Tennessee Titans,16, Indianapolis Colts,10,17,2007
Washington Redskins,27, Dallas Cowboys,6,17,2007
Jacksonville Jaguars,31, Pittsburgh Steelers,29,wc,2007
New York Giants,24, Tampa Bay Buccaneers,14,wc,2007
San Diego Chargers,17, Tennessee Titans,6,wc,2007
Seattle Seahawks,35, Washington Redskins,14,wc,2007
Green Bay Packers,42, Seattle Seahawks,20,div,2007
New England Patriots,31, Jacksonville Jaguars,20,div,2007
New York Giants,21, Dallas Cowboys,17,div,2007
San Diego Chargers,28, Indianapolis Colts,24,div,2007
New England Patriots,21, San Diego Chargers,12,conf,2007
New York Giants,23, Green Bay Packers,20,conf,2007
New York Giants,17, New England Patriots,14,sb,2007
Arizona Cardinals,23, San Francisco 49ers,13,01,2008
Atlanta Falcons,34, Detroit Lions,21,01,2008
Baltimore Ravens,17, Cincinnati Bengals,10,01,2008
Buffalo Bills,34, Seattle Seahawks,10,01,2008
Carolina Panthers,26, San Diego Chargers,24,01,2008
Chicago Bears,29, Indianapolis Colts,13,01,2008
Dallas Cowboys,28, Cleveland Browns,10,01,2008
Denver Broncos,41, Oakland Raiders,14,01,2008
Green Bay Packers,24, Minnesota Vikings,19,01,2008
New England Patriots,17, Kansas City Chiefs,10,01,2008
New Orleans Saints,24, Tampa Bay Buccaneers,20,01,2008
New York Giants,16, Washington Redskins,7,01,2008
New York Jets,20, Miami Dolphins,14,01,2008
Philadelphia Eagles,38, St. Louis Rams,3,01,2008
Pittsburgh Steelers,38, Houston Texans,17,01,2008
Tennessee Titans,17, Jacksonville Jaguars,10,01,2008
Arizona Cardinals,31, Miami Dolphins,10,02,2008
Buffalo Bills,20, Jacksonville Jaguars,16,02,2008
Carolina Panthers,20, Chicago Bears,17,02,2008
Dallas Cowboys,41, Philadelphia Eagles,37,02,2008
Denver Broncos,39, San Diego Chargers,38,02,2008
Green Bay Packers,48, Detroit Lions,25,02,2008
Indianapolis Colts,18, Minnesota Vikings,15,02,2008
New England Patriots,19, New York Jets,10,02,2008
New York Giants,41, St. Louis Rams,13,02,2008
Oakland Raiders,23, Kansas City Chiefs,8,02,2008
Pittsburgh Steelers,10, Cleveland Browns,6,02,2008
San Francisco 49ers,33, Seattle Seahawks,30,02,2008
Tampa Bay Buccaneers,24, Atlanta Falcons,9,02,2008
Tennessee Titans,24, Cincinnati Bengals,7,02,2008
Washington Redskins,29, New Orleans Saints,24,02,2008
Atlanta Falcons,38, Kansas City Chiefs,14,03,2008
Baltimore Ravens,28, Cleveland Browns,10,03,2008
Buffalo Bills,24, Oakland Raiders,23,03,2008
Dallas Cowboys,27, Green Bay Packers,16,03,2008
Denver Broncos,34, New Orleans Saints,32,03,2008
Jacksonville Jaguars,23, Indianapolis Colts,21,03,2008
Miami Dolphins,38, New England Patriots,13,03,2008
Minnesota Vikings,20, Carolina Panthers,10,03,2008
New York Giants,26, Cincinnati Bengals,23,03,2008
Philadelphia Eagles,15, Pittsburgh Steelers,6,03,2008
San Diego Chargers,48, New York Jets,29,03,2008
San Francisco 49ers,31, Detroit Lions,13,03,2008
Seattle Seahawks,37, St. Louis Rams,13,03,2008
Tampa Bay Buccaneers,27, Chicago Bears,24,03,2008
Tennessee Titans,31, Houston Texans,12,03,2008
Washington Redskins,24, Arizona Cardinals,17,03,2008
Buffalo Bills,31, St. Louis Rams,14,04,2008
Carolina Panthers,24, Atlanta Falcons,9,04,2008
Chicago Bears,24, Philadelphia Eagles,20,04,2008
Cleveland Browns,20, Cincinnati Bengals,12,04,2008
Jacksonville Jaguars,30, Houston Texans,27,04,2008
Kansas City Chiefs,33, Denver Broncos,19,04,2008
New Orleans Saints,31, San Francisco 49ers,17,04,2008
New York Jets,56, Arizona Cardinals,35,04,2008
Pittsburgh Steelers,23, Baltimore Ravens,20,04,2008
San Diego Chargers,28, Oakland Raiders,18,04,2008
Tampa Bay Buccaneers,30, Green Bay Packers,21,04,2008
Tennessee Titans,30, Minnesota Vikings,17,04,2008
Washington Redskins,26, Dallas Cowboys,24,04,2008
Arizona Cardinals,41, Buffalo Bills,17,05,2008
Atlanta Falcons,27, Green Bay Packers,24,05,2008
Carolina Panthers,34, Kansas City Chiefs,0,05,2008
Chicago Bears,34, Detroit Lions,7,05,2008
Dallas Cowboys,31, Cincinnati Bengals,22,05,2008
Denver Broncos,16, Tampa Bay Buccaneers,13,05,2008
Indianapolis Colts,31, Houston Texans,27,05,2008
Miami Dolphins,17, San Diego Chargers,10,05,2008
Minnesota Vikings,30, New Orleans Saints,27,05,2008
New England Patriots,30, San Francisco 49ers,21,05,2008
New York Giants,44, Seattle Seahawks,6,05,2008
Pittsburgh Steelers,26, Jacksonville Jaguars,21,05,2008
Tennessee Titans,13, Baltimore Ravens,10,05,2008
Washington Redskins,23, Philadelphia Eagles,17,05,2008
Arizona Cardinals,30, Dallas Cowboys,24,06,2008
Atlanta Falcons,22, Chicago Bears,20,06,2008
Cleveland Browns,35, New York Giants,14,06,2008
Green Bay Packers,27, Seattle Seahawks,17,06,2008
Houston Texans,29, Miami Dolphins,28,06,2008
Indianapolis Colts,31, Baltimore Ravens,3,06,2008
Jacksonville Jaguars,24, Denver Broncos,17,06,2008
Minnesota Vikings,12, Detroit Lions,10,06,2008
New Orleans Saints,34, Oakland Raiders,3,06,2008
New York Jets,26, Cincinnati Bengals,14,06,2008
Philadelphia Eagles,40, San Francisco 49ers,26,06,2008
San Diego Chargers,30, New England Patriots,10,06,2008
St. Louis Rams,19, Washington Redskins,17,06,2008
Tampa Bay Buccaneers,27, Carolina Panthers,3,06,2008
Baltimore Ravens,27, Miami Dolphins,13,07,2008
Buffalo Bills,23, San Diego Chargers,14,07,2008
Carolina Panthers,30, New Orleans Saints,7,07,2008
Chicago Bears,48, Minnesota Vikings,41,07,2008
Green Bay Packers,34, Indianapolis Colts,14,07,2008
Houston Texans,28, Detroit Lions,21,07,2008
New England Patriots,41, Denver Broncos,7,07,2008
New York Giants,29, San Francisco 49ers,17,07,2008
Oakland Raiders,16, New York Jets,13,07,2008
Pittsburgh Steelers,38, Cincinnati Bengals,10,07,2008
St. Louis Rams,34, Dallas Cowboys,14,07,2008
Tampa Bay Buccaneers,20, Seattle Seahawks,10,07,2008
Tennessee Titans,34, Kansas City Chiefs,10,07,2008
Washington Redskins,14, Cleveland Browns,11,07,2008
Baltimore Ravens,29, Oakland Raiders,10,08,2008
Carolina Panthers,27, Arizona Cardinals,23,08,2008
Cleveland Browns,23, Jacksonville Jaguars,17,08,2008
Dallas Cowboys,13, Tampa Bay Buccaneers,9,08,2008
Houston Texans,35, Cincinnati Bengals,6,08,2008
Miami Dolphins,25, Buffalo Bills,16,08,2008
New England Patriots,23, St. Louis Rams,16,08,2008
New Orleans Saints,37, San Diego Chargers,32,08,2008
New York Giants,21, Pittsburgh Steelers,14,08,2008
New York Jets,28, Kansas City Chiefs,24,08,2008
Philadelphia Eagles,27, Atlanta Falcons,14,08,2008
Seattle Seahawks,34, San Francisco 49ers,13,08,2008
Tennessee Titans,31, Indianapolis Colts,21,08,2008
Washington Redskins,25, Detroit Lions,17,08,2008
Arizona Cardinals,34, St. Louis Rams,13,09,2008
Atlanta Falcons,24, Oakland Raiders,0,09,2008
Baltimore Ravens,37, Cleveland Browns,27,09,2008
Chicago Bears,27, Detroit Lions,23,09,2008
Cincinnati Bengals,21, Jacksonville Jaguars,19,09,2008
Indianapolis Colts,18, New England Patriots,15,09,2008
Miami Dolphins,26, Denver Broncos,17,09,2008
Minnesota Vikings,28, Houston Texans,21,09,2008
New York Giants,35, Dallas Cowboys,14,09,2008
New York Jets,26, Buffalo Bills,17,09,2008
Philadelphia Eagles,26, Seattle Seahawks,7,09,2008
Pittsburgh Steelers,23, Washington Redskins,6,09,2008
Tampa Bay Buccaneers,30, Kansas City Chiefs,27,09,2008
Tennessee Titans,19, Green Bay Packers,16,09,2008
Arizona Cardinals,29, San Francisco 49ers,24,10,2008
Atlanta Falcons,34, New Orleans Saints,20,10,2008
Baltimore Ravens,41, Houston Texans,13,10,2008
Carolina Panthers,17, Oakland Raiders,6,10,2008
Denver Broncos,34, Cleveland Browns,30,10,2008
Indianapolis Colts,24, Pittsburgh Steelers,20,10,2008
Jacksonville Jaguars,38, Detroit Lions,14,10,2008
Miami Dolphins,21, Seattle Seahawks,19,10,2008
