gameorder,game_id,lg_id,is_copy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,msf_game_id
59290,201211090PHO,NBA,1,2013,2012-11-09,6,0,CLE,Cavaliers,105,1358.7621,1357.2145,PHX,Suns,107,1508.2866,1509.8342,A,L,NA
59291,201211090SAC,NBA,0,2013,2012-11-09,6,0,SAC,Kings,86,1411.2153,1405.6838,SAS,Spurs,97,1672.2556,1677.7871,H,L,NA
59291,201211090SAC,NBA,1,2013,2012-11-09,6,0,SAS,Spurs,97,1672.2556,1677.7871,SAC,Kings,86,1411.2153,1405.6838,A,W,NA
59292,201211090WAS,NBA,1,2013,2012-11-09,4,0,MIL,Bucks,101,1504.6554,1516.1222,WAS,Wizards,91,1432.6027,1421.1359,A,W,NA
59292,201211090WAS,NBA,0,2013,2012-11-09,4,0,WAS,Wizards,91,1432.6027,1421.1359,MIL,Bucks,101,1504.6554,1516.1222,H,L,NA
59293,201211100CHA,NBA,1,2013,2012-11-10,7,0,DAL,Mavericks,97,1533.1604,1521.8568,CHA,Hornets,101,1238.2786,1249.5822,A,L,NA
59293,201211100CHA,NBA,0,2013,2012-11-10,5,0,CHA,Hornets,101,1238.2786,1249.5822,DAL,Mavericks,97,1533.1604,1521.8568,H,W,NA
59294,201211100CHI,NBA,1,2013,2012-11-10,6,0,MIN,Timberwolves,80,1440.7579,1438.0229,CHI,Bulls,87,1587.4724,1590.2074,A,L,NA
59294,201211100CHI,NBA,0,2013,2012-11-10,6,0,CHI,Bulls,87,1587.4724,1590.2074,MIN,Timberwolves,80,1440.7579,1438.0229,H,W,NA
59295,201211100GSW,NBA,1,2013,2012-11-10,7,0,DEN,Nuggets,107,1576.9272,1583.3124,GSW,Warriors,101,1427.4117,1421.0266,A,W,NA
