lastName,firstName,POS,Team,FGA,FTA,REB,AST,PTS,TOV,STL,BLK,SEC
Gasol,Pau,C,Spurs,547,178,533,216,685,96,21,70,95421
Gay,Rudy,SF,Spurs,413,110,227,60,504,65,33,32,58656
Gbinije,Michael,F,Pistons,0,0,0,0,0,0,0,0,0
Gee,Alonzo,SF,Nuggets,0,0,0,0,0,0,0,0,0
Gentry,Alvin,C,Pelicans,0,0,0,0,0,0,0,0,2160
George,Paul,SF,Thunder,1158,344,386,235,1505,186,142,37,150093
Georges-Hunt,Marcus,SG,Timberwolves,42,16,14,7,45,3,4,0,12210
Gibson,Taj,PF,Timberwolves,643,155,501,90,869,79,55,49,142437
Giles,Harry,C,Kings,0,0,0,0,0,0,0,0,0
Ginobili,Manu,SG,Spurs,392,100,116,135,483,90,35,16,65266
Gobert,Rudy,C,Jazz,361,245,472,59,618,77,32,102,85339
Goodwin,Archie,PG,Nets,0,0,0,0,0,0,0,0,0
Gordon,Aaron,PF,Magic,704,198,396,107,858,87,42,37,94922
Gordon,Eric,SG,Rockets,856,225,150,134,1098,115,38,24,114571
Gortat,Marcin,C,Wizards,482,144,534,129,594,84,36,53,107297
Graham,Treveon,SG,Hornets,208,53,114,52,261,26,31,1,58338
Grant,Jerami,PF,Thunder,403,199,287,53,579,51,27,64,87502
Grant,Jerian,PG,Bulls,393,157,154,289,502,74,47,6,82729
Gray,Josh,G,Suns,41,11,10,12,32,7,8,2,5186
Green,Danny,SG,Spurs,471,49,207,95,509,57,56,67,89821
Green,Draymond,PF,Warriors,561,155,487,454,700,170,85,86,121006
Green,Gerald,SG,Rockets,277,41,86,12,329,17,16,11,37008
Green,JaMychal,PF,Grizzlies,433,100,394,69,500,68,29,20,79526
Green,Jeff,PF,Cavaliers,520,200,222,86,704,62,33,26,89555
Griffin,Blake,PF,Pistons,924,313,392,295,1144,156,39,15,108513
Hamilton,Daniel,G,Thunder,11,0,5,7,12,2,1,0,1573
Hamilton,Justin,C,Nets,0,0,0,0,0,0,0,0,0
Hammons,A.J.,C,Heat,0,0,0,0,0,0,0,0,0
Hardaway Jr.,Tim,SG,Knicks,721,153,191,133,837,77,49,10,94860
Harden,James,SG,Rockets,1262,624,322,541,1921,266,115,43,132495
Harkless,Maurice,SF,Trail Blazers,274,51,151,47,344,39,48,37,70396
Harrell,Montrezl,PF,Clippers,422,186,249,52,658,56,29,45,60610
Harris,Devin,SG,Nuggets,370,139,106,111,485,59,42,11,64275
Harris,Gary,SG,Nuggets,889,156,174,193,1148,117,121,15,136390
Harris,Joe,SF,Nets,538,87,227,105,705,73,30,16,103423
Harris,Tobias,PF,Clippers,1017,184,371,152,1249,84,59,29,133864
Harrison,Aaron,SG,Hornets,0,0,0,0,0,0,0,0,0
Harrison,Andrew,PG,Grizzlies,382,145,124,155,481,76,36,24,72280
Harrison,Shaquille,G,Suns,52,20,37,22,62,10,13,5,10203
Hart,Josh,SG,Lakers,284,64,206,65,364,35,38,12,70915
Haslem,Udonis,C,Heat,12,0,9,5,7,2,0,2,3677
Hayes,Nigel,SF,Raptors,5,1,0,2,9,1,0,0,1013
Hayward,Gordon,SF,Celtics,2,0,1,0,2,0,0,0,315
Hearn,Reggie,SG,Pistons,1,0,0,0,3,0,0,0,209
Henry,Myke,F,Grizzlies,78,10,25,16,81,14,21,5,16495
Henson,John,PF,Bucks,418,142,438,84,566,76,34,91,99059
Hernangomez,Guillermo,C,Hornets,96,42,91,23,131,30,9,9,17360
Hernangomez,Juancho,SF,Nuggets,67,12,53,9,73,8,6,3,15081
Hezonja,Mario,SF,Magic,482,74,217,79,566,66,63,21,77982
Hicks,Isaiah,F,Knicks,25,8,15,4,31,7,2,1,5932
Hield,Buddy,SG,Kings,782,70,260,124,895,97,63,21,102033
